transcript_date,health_discussed,health_discussed_people_names,health_data_information_systems_discussed,health_data_information_systems_summary,health_data_challenges,health_service_delivery_improvement_recommendations,health_sector_decisions,health_evidence_base,health_evidence_requested,filename
"December 6, 2016",No,,No,,,,,,,149th-sitting-of-2016_0
"Tuesday , 13th March , 2018",No,,No,,,,,,,11th-Sitting-of-2018_0
"November 14, 2017",No,,No,,,,,,,18th-Sitting-of-2017_0
"September 22, 2020",Yes,Hon. Hassan Ali Joho,No,,"Scarcity of resources, desire to deliver better County services","Investment in data and informatics to drive change and transformation, provide access to goods and services as envisaged in the Constitution",No decisions made regarding financing the health sector,"Population statistics globally, data from Kenya National Bureau of Statistics (KNBS) census Report",,42nd-Sitting-of-2020_1
"October 14, 2020",Yes,"Hon. Hamida Noor, Hon. Tobias Samba, Hon. Kizito Opeya, Hon. Mwaka Mwaludonda, Hon. Benard Ogutu, Hon. Tobias Samba, Hon. Leila, Hon. Aran Moses, Hon. Athmani Shebe",No,,The department's main challenge has been finances to fund the proposed project.,Provide budgetary support from the County to fund the project and serve the residents of Mwagosi in Changamwe.,Solution made to put up four water lines funded by Constituency Development Fund (CDF) office at Bokole to Mwagosi village.,Document from the Chief Officer Department of Water was used as evidence.,No specific health information requested from anyone.,56th-Sitting-of-2020_0
"July 27, 2016",No,,No,,,,,,,79th-sitting-of-2016_1
"July 5, 2016",No,,No,,,,,,,68th-sitting-of-2016_0
"May 31, 2017",No,,No,,,,,,,65th-sitting-of-2017_0
"February 14 , 2019",No,,No,,,,,,,4th-Sitting-of-2019_0
"December 14, 2016",Yes,"Hon Zainab Ali Said, Hon Boma, Hon Chizi Chireri",No,,Scarcity of public toilets in the County,Immediate and long-term measures to address the scarcity of public toilets in the County,,,Information from the Chairman of the Committee on Health Services,155th-sitting-of-2016_0
"July 17, 2019",No,,No,,,,,,,61st-Sitting-of-2019_0
"February 28 , 202 3",No,,No,,,,,,,14th-Sitting-of-2023_0
"October 4, 2017",No,,No,,,,,,,8th-Sitting-of-2017_0
"June 22, 2016",No,,No,,,,,,,61st-sitting-of-2016_1
"November 9, 2017",No,,No,,,,,,,SPECIAL-SITTING_1
"June 19, 2019",No,,No,,,,,,,44th-Sitting-of-2019_0
"March 17, 2016",No,,Yes,"Discussions were held on the County Fiscal Strategy Paper, 2016, and the Debt Management Strategy Paper. The goals and findings of the workshop were reviewed, along with comparisons with national and county fiscal policies. Recommendations for corrective measures and improvements were discussed.","The challenges identified included under-absorption of funds, discrepancies between projected and actual revenues and expenditures, departmental allocations not aligned with priorities, delays in project implementation, and poor debt management practices.","Recommendations included improved alignment of fiscal papers with development plans, conducting cost-benefit analysis for medical equipment, revenue enhancement plans, and reviewing and analyzing accomplishments in development projects.","Decisions were made to align the County Fiscal Strategy Paper with development plans, implement revenue enhancement plans, conduct cost-benefit analysis for medical equipment, and improve debt management practices.","The evidence used to inform decisions included the findings and observations from the review of the County Fiscal Strategy Paper, 2016, and the Debt Management Strategy Paper.",,36th-sitting-of-2016_0
"November 22 , 2016",No,,No,,,,,,,141st-sitting-of-2016_0
"August 1, 2018",No,,No,,,,,,,60th_Sitting_of_2018_updted_0
"April 2, 2019",No,,No,,,,,,,25th-Sitting-of-2019_0
"July 18, 2018",No,,No,,,,,,,52nd_Sitting_of_2018_updted_1
"February 10, 2016",No,,No,,,,,,,14th-sitting-of-2016_0
"June 19 , 2018",No,,No,,,,,,,42nd-Sitting-of-2018_0
"March 4, 2020",No,,No,,,,,,,11th-Sitting-of-2020_0
"February 18, 2020",No,,No,,,,,,,1st-Sitting-of-2020_1
"August 7, 2019",Yes,"Hon. Murfad Amur, Hon. Athman Mwamwiri, Hon. Omondi, Hon. Kitula",No,,,,,Statements and issues raised during the County Assembly meeting,"Information on health service delivery, issues with Minister of Transport and Infrastructure, issues with recruitment of ECDE’s teachers",73rd-Sitting-of-2019_0
"March 22 , 2017",No,,No,,,,,,,39th-sitting-of-2017_0
"18th October, 2017",No,,No,,,,,,,15th-Sitting-of-2017_0
"July 17, 2019",No,,No,,,,,,,62nd-Sitting-of-2019_0
"July 24, 2019",No,,No,,,,,,,65th-Sitting-of-2019_0
"June 30, 2016",No,,No,,,,,,,67th-sitting-of-2016_2
"September 13 , 2023",No,,Yes,Discussions on the implementation of resolutions related to healthcare service delivery and infrastructure.,None mentioned in the transcript.,"Plans and actions to address poor drainage systems, road upgrades, and discrimination in releasing healthcare practitioners for further studies.",,Statements and responses from committee members and requests for clarification and reports.,,63rd-Sitting-of-2023_0
"June 26, 2018",Yes,"Hon. Mohamed Hatimy, Hon. Fahad Kassim, Hon. Murfad Amur, Hon. (Ms.) Maimuna Salim, Leader of Majority (Hon. Mwidani), Chief Whip (Hon. Kitula), Hon. Athman Mwamwiri, Hon. Ahmed Salama, Hon. Ibrahim Omondi",No,,N/A,N/A,N/A,N/A,N/A,46th-Sitting-of-2018_3
"April 13, 2016",No,,No,,,,,,,51st-sitting-of-2016_0
"August 15 , 2018",No,,No,,,,,,,68th_Sitting_of_2018_updted_0
"June 27, 2023",No,,No,,,,,,,42nd-Sitting-of-2023_0
"February 14, 2023",No,,No,,,,,,,6th-Sitting-of-2023_1
"November 29, 2023",Yes,"Hon. Makanga, Hon. Bernard Ogutu, Hon. Frankline Makanga, Hon. Noor, Hon. Hamida Noor, Hon. Mbel",No,,"Pending bills in the county, closure of Kashani quarry without consultation of stakeholders, alleged discrimination in release of health care practitioners for further studies","Regular responses and satisfactory replies from the respective departments, site visit for urgent matters",,"Responses from departments, feedback from the Department of Health, information provided during discussions",,101st-Sitting-of-2023_0
"May 16, 2023",No,,No,,,,,,,34th-Sitting-of-2023_0
"December 5, 2023",No,,No,,,,,,,102nd-Sitting-of-2023_0
"September 5, 2023",No,,No,,,,,,,60th-Sitting-of-2023_0
"Wednesday, 11th April, 2018",No,,No,,,,,,,21st-Sitting-of-2018_0
"October 17, 2017",No,,No,,,,,,,14th-Sitting-of-2017_1
"November 26 , 2019",Yes,"Hon. Mwalimu Mgwisho, Hon. Fatuma Mote, Hon. Charles Kitula, Hon. Kibwana Swaleh, Hon. Ibrahim, Hon. Nyiro",No,,Lack of funding for opening a health center,To open a health center with proper equipment and medication,Decision to open the Shika Adabu Health Center by the Governor,The readiness of the Shika Adabu Health Center,,112th-Sitting-of-2019_0
"September 12, 2023",Yes,"Solomon Ngugi, Hamida Noor, Juma Manuari, Maimuna Salim, Maryam Baimu, Hamisi Mbaya, Seif Manuari",No,,"Access to healthcare facilities for people with disabilities, lack of specialized equipment for people with disabilities, lack of trained healthcare staff for people with disabilities","1. Provide comprehensive training for healthcare workers on handling the unique needs of people with disabilities. Training should include proper communication, treatment strategies, and disability-inclusive services. 2. Allocate budget for the procurement and support of essential drugs and equipment designed for the special needs of people with disabilities in public hospitals. This step will alleviate their health burdens. 3. Conduct regular educational campaigns for people with disabilities on the diseases affecting them and proper self-care measures. This aims to empower individuals with disabilities to take action to protect their health. 4. Grant full waivers for medical fees to confirmed financially incapable People with Disabilities (PWDs) who are unable to afford treatment costs in public hospitals. 5. Ensure that all healthcare facilities within Mombasa County are disability-friendly by making infrastructure adjustments necessary to serve People with Disabilities (PWDs). This includes ramps, large doors, sensory-friendly exits, and other required infrastructure.","Decision to initiate comprehensive training for healthcare workers, allocation of budget for procurement of drugs and equipment for people with disabilities, decision to conduct regular educational campaigns, decision to grant full waivers for medical fees for financially incapable PWDs, decision to make healthcare facilities within Mombasa County disability-friendly.","Assessment of healthcare facilities, assessment of the needs of People with Disabilities, evaluation of the current challenges in healthcare access for People with Disabilities",,61st-Sitting-of-2023_0
"July 24, 2019",No,,No,,,,,,,66th-Sitting-of-2019_1
"February 16, 2017",Yes,"Hon. Mwalimu, Hon. Mwadziwe, Hon. Mwinga, Hon. Mary Akinyi, Hon. Kibwana Swaleh, Hon. Saad Faraj, Hon. Wangudi, Hon. Kizito Opeya",No,,,"Ensure doctors resume duties, provide professional guidance from consultants, involve key stakeholders in the development and validation of plans",,The status of health sector development projects as outlined in the County Integrated Development Plan and Annual Development Plan,,20th-sitting-of-2017_0
"Wednesday, 23rd November, 2022",No,,No,,,,,,,16th-Sitting-of-2022_0
"December 22, 2016",No,,No,,,,,,,160th-sitting-of-2016_0
"November 30, 2022",No,,No,,,,,,,20th-Sitting-of-2022-Third-Assembly_1
"Febru ary 27, 2019",No,,No,,,,,,,11th-Sitting-of-2019_1
28th November 2023,No,,No,,,,,,,98th-Sitting-of-2023_0
"June 7, 2023",No,,No,,,,,,,40th-Sitting-of-2023_1
"July 10, 2019",No,,No,,,,,,,57th-Sitting-of-2019_1
"February 25, 2020",Yes,"Hon. Kibwana, Hon. Nzai, Hon. Samba, Hon. Fadhili, Hon. Tobias",No,,"Misdirected letter, slow redirection",,,,Health officers' transfer specifics from Chief Officer Public Health Services,5th-Sitting-of-2020_0
"February 28 , 202 3",No,,No,,,,,,,13th-Sitting-of-2023_1
"October 11, 2018",No,,No,,,,,,,81st-Sitting-of-2018_1
"Wednesday, 10th July, 2019",Yes,"Renson Thoya, Mwaka Bakari, Kibwana Swaleh, Mohamed Hatimy, Nyiro",No,,"Need for disaster preparedness and mitigation, questions on fire brigade readiness","Investigation on fire brigade preparedness, requests for resources to improve disaster response",,,Investigation results from relevant committees for disaster preparedness,56th-Sitting-of-2019_2
"July 23, 2019",No,,No,,,,,,,63rd-Sitting-of-2019_0
"February 21, 2019",No,,No,,,,,,,8th-Sitting-of-2019_0
"Tuesday , 27th March , 2018",No,,No,,,,,,,19th-Sitting-of-2018_0
"October 8, 2019",No,,No,,,,,,,88th-Sitting-of-2019_1
"May 8, 2019",No,,No,,,,,,,41st-Sitting-of-2019_0
"January 20, 2016",Yes,"Mr. Speaker (Hon. Thadius Rajwayi), Hon. Sarah Nyamvulah, Hon. Wangudi, Hon. Mary Akinyi, Hon. Zainab Said Ali, Hon. Stephen Wangudi, Hon. Lucy Chizi",No,,"Parking issues around Coast General Hospital obstructing patients, medical staff, and pedestrians",Establishment of a no-parking zone around Coast General Hospital to improve access,,Observations of parking issues obstructing hospital access,,3rd-sitting-of-2016_1
"September 15, 2016",No,,No,,,,,,,104th-sitting-of-2016_0
"April 10 , 201 8",Yes,Hon. Mohamed Hatimy,No,,,,,"Constitution of Kenya, 2010",None,20th-Sitting-of-2018_0
"July 23, 2019",No,,No,,,,,,,63rd-Sitting-of-2019_1
"Wednesday , 8th November, 2023",No,,No,,,,,,,89th-Sitting-of-2023_0
"March 7, 2017",No,,No,,,,,,,29th-sitting-of-2017_0
"February 21, 2019",No,,No,,,,,,,8th-Sitting-of-2019_2
"July 19, 2018",Yes,"Hon. Kibwana Swaleh, Hon. Shebe Athuman, Hon. Ali Mohamed Shomari, Hon. Amriya Juma, Hon. Nzai, Hon. Thoya, Hon. Ramla Said, Leader of Majority (Hon. Mwidani), Hon. Fahad Kassim Abdallah, Hon. Prischillah Mumba, Hon. Milka Moraa, Hon. Hamida Noor, Hon. Robert Nyiro, Hon. Hatimy",No,,Shortage of nurses and workforce in health facilities,Employing more nurses to minimize shortage in health facilities,,N/A,N/A,54th_Sitting_of_2018_updted_0
"February 19, 2019",No,,No,,,,,,,5th-Sitting-of-2019_0
"July 31, 2019",No,,No,,,,,,,69th-Sitting-of-2019_0
"October 31, 2023",Yes,"Hon. Bernard Ogutu Ochieng, Hon. Ibrahim Oyugi Omondi",No,,,"1. Prioritize the improvement of infrastructure, equipment, and facilities at all level 3-A healthcare centers. 2. Allocate adequate funding and resources to ensure staffing with qualified healthcare professionals. 3. Establish a comprehensive plan for the supply of essential medicines, supplies, and equipment. 4. Institute regular monitoring and evaluation mechanisms to assess performance and functionality of public health facilities.",,,,82nd-Sitting-of-2023_0
"November 15, 2018",Yes,"Hon. Mohamed Hatimy, Hon. Salim Kalume, Hon. Renson Thoya, Hon. Prischillah Mumba, Hon. Fadhili",No,,Delayed payments affecting work completion and fairness in resource distribution,Equal sharing of resources based on needs and challenges in different wards,,,,94th-Sitting-of-2018_0
"Wednesday, 9th November, 2022",Yes,"Hon. Ogutu, Hon. Abdirahman Abdulkad",No,,"Lack of development in certain wards, poor working conditions for environmental workers, issues in the health department such as charging fees for children under five years old","Implementation of Ward Development Fund, empowerment of environmental workers, creation of a health task force, adoption of strict measures for child healthcare fees",,"Cases of child deaths due to negligence, challenges faced by environmental workers, lack of development in specific wards",,7th-Sitting-of-2022_2
"December 19, 2017",No,,No,,,,,,,30th-Sitting-of-2017_1
"March 20, 2018",Yes,"Hon. Ibrahim Omondi, Hon. Mwalimu, Hon. Fatuma Swaleh, Hon. Fahad Kassim, Chief Whip, Hon. Feddis Mbura, Hon. Ramla, Hon. Raphael Bwire, Hon. Leila, Hon. Amriya, Hon. Benard, Hon. Ogutu, Hon. Mwamwiri",No,,Garbage collection challenges at the County level,"Establishing a Ward waste management committee, transferring waste management to Ward level",Resolve to transfer waste management to Ward level,"Constitution of Kenya, 2010 (Fourth Schedule)",,15th-Sitting-of-2018-20th-March-18_0
"November 20, 2019",Yes,"Hon. Kibwana Swaleh, Hon. Hatimy Mohamed, Hon. Athmani Mwamwiri, Hon. Raphael Bwire, Hon. Tobias Samba, Hon. Mohamed Hatimy, Hon. Athmani Shebe",No,,,,,,,110th-Sitting-of-2019_0
"December 4 , 2019",Yes,"Hon. Kibwana Swaleh, Hon. Hamisi Musa, Hon. Murfad Amur, Hon. Shebe Athuman, Hon. Nyiro, Hon. Kibwana Swaleh, Hon. Bwire, Hon. Athman Mwamwiri, Hon. Moham ed Hatimy, Hon. Nzai, Hon. Samba",No,,N/A,N/A,N/A,N/A,N/A,117th-Sitting-of-2019_0
"September 11, 2019",No,,No,,,,,,,77th-Sitting-of-2019_1
"June 22, 2016",No,,No,,,,,,,62nd-sitting-of-2016_0
"February 18 , 2020",No,,No,,,,,,,2nd-Sitting-of-2020_0
"January 26, 2021",No,,No,,,,,,,Second-Special-Sitting-2021_1
"June 22 , 201 7",No,,No,,,,,,,77th-sitting-of-2017_0
"March 8 , 2016",No,,No,,,,,,,29th-sitting-of-2016_0
"April 19 , 2018",No,,No,,,,,,,27th-Sitting-of-2018_0
"September 8, 2016",No,,No,,,,,,,100th-sitting-of-2016_0
"March 11, 2020",Yes,"Hon. Aharub Ebrahim Khatri, Hon. Hassan Ali Joho",No,,,Enhanced funding to County government for comprehensive care,,Cancer screening center at Coast Provincial General Hospital,None,15th-Sitting-of-2020_0
"April 5 , 202 3",No,,No,,,,,,,28th-Sitting-of-2023_0
"November 6, 2019",No,,No,,,,,,,101st-Sitting-of-2019_0
"October 17, 2018",Yes,Hon. Kibwana Swaleh,No,,"Identified amendments on the Mombasa County Health Bill, 2017","Amendments on the Mombasa County Health Bill, 2017","Amendments on the Mombasa County Health Bill, 2017","Amendments on the Mombasa County Health Bill, 2017","Amendments on the Mombasa County Health Bill, 2017",84th-Sitting-of-2018_0
"April 25, 2017",No,,No,,,,,,,46th-sitting-of-2017_0
"May 8, 2018",No,,No,,,,,,,31st-Sitting-of-2018_0
"December 6 , 202 2",No,,No,,,,,,,21st-Sitting-of-2022_0
"August 14, 2018",No,,No,,,,,,,67th_Sitting_of_2018_updted_0
"May 9, 2018",Yes,"Hon. Robert Nyiro, Hon. Charles Kitula",No,,,Establishment of a medical scheme for the elderly in the county,"Resolution to establish a medical scheme for the elderly in the county, collaboration with NHIF to benefit the elderly","Challenges faced by the elderly in accessing affordable medical care, the national government's free medical cover for elderly above 70 years, lack of proper medical scheme or initiative for the elderly in the county",,33rd-Sitting-of-2018_0
"March 23, 2017",Yes,"Hon Fadhili Makarani, Hon Mwalimu, Hon Amur, Hon Jimmy Odari, Hon Saad Faraj, Hon Zainab Mumba, Hon Mwinga, Hon Mary Akinyi, Hon Amir Thoya, Hon Patrick Siminyu",No,,The issue of scarcity of water in Mombasa County,"Remove street families, children, and beggars within Mombasa County","County government urged to remove street families, street children, and beggars within Mombasa County","Observations of the water scarcity issue in Mombasa County, discussions on the challenges faced by health workers in providing care",,40th-sitting-of-2017_1
"October 11, 2017",No,,No,,,,,,,11th-Sitting-of-2017_0
"July 1, 2020",No,,No,,,,,,,26th-Sitting-of-2020_0
"May 6, 2020",No,,No,,,,,,,19th-sitting-of-2020_0
"February 10, 2016",No,,No,,,,,,,15th-sitting-of-2016_0
"June 29, 2020",No,,No,,,,,,,23rd-Sitting-of-2020-1_0
"August 8, 2018",No,,No,,,,,,,64th_Sitting_of_2018_updted_0
"August 30, 2016",No,,No,,,,,,,93rd-sitting-of-2016_0
"May 17, 2017",No,,No,,,,,,,56th-sitting-of-2017_0
"January 26, 2016",No,,No,,,,,,,5th-sitting-of-2016_1
"October 16, 2019",No,,No,,,,,,,93rd-Sitting-of-2019_0
"November 3, 2021",No,,No,,,,,,,119th-Sitting-of-2021_0
"October 18, 2023",No,,No,,,,,,,80th-Sitting-of-2023_0
"September 11, 2019",No,,No,,,,,,,77th-Sitting-of-2019_0
"December 7, 2016",Yes,Swaleh Kibwana,No,,,,,,Report of contaminated Dasani mineral water,151st-sitting-of-2016_0
